image_path,instruction,description,input
001227.jpg,Provide a detailed and accurate description of the image within 50 words.,"A sailboat glides through calm waters on a sunny day. The sail is billowing in the wind and the crew is gathered on deck,  enjoying the ride. The boat's name, Houqua, is visible on the side.","label_boundingbox:{person: {'xyxy': {'Left': 274, 'Top': 302, 'Right': 309, 'Bottom': 349}},boat: {'xyxy': {'Left': 0, 'Top': 1, 'Right': 375, 'Bottom': 440}}},
caption:a sail in the water.,
image_embedding:[-0.04, -0.16, 0.9, 0.77, -0.68, 0.01, -0.82, -0.24, -0.51, -0.8, -0.09, 0.0, 0.31, -0.34, 0.16, -0.42, 0.49, 0.52, 0.29, -0.63, 0.65, -0.33, -0.95, 0.01, 1.49, -0.48, 0.57, -0.02, 0.02, -0.84, 0.18, -0.69, -0.09, -0.31, 0.74, -0.63, 0.32, -0.5, 0.44, -0.48, -1.07, 0.72, 0.62, -0.29, -3.13, 0.03, -0.88, 0.11, -0.15, -0.62, 0.54, -0.39, 0.38, -0.23, -0.72, -0.62, -0.26, -0.04, -0.09, -0.27, -0.7, 0.21, -0.04, -0.28]"
008798.jpg,Provide a detailed and accurate description of the image within 50 words.,"A line of buses travel down a rural road in India. The bus in the foreground is loaded down with bags on the roof, likely full of luggage or goods to be transported.  The bus is painted white and blue and has a large yellow sticker on the side.  The road is paved and has yellow lines painted down the middle.  There are green bushes on both sides of the road.","label_boundingbox:{bus: {'xyxy': {'Left': 254, 'Top': 139, 'Right': 493, 'Bottom': 368}}},
caption:a bus on the road.,
image_embedding:[0.03, 0.44, 0.65, 0.27, -0.79, -0.15, -0.0, 1.05, 0.29, 0.42, 0.47, -0.49, 0.04, 0.08, -0.57, -0.07, 0.05, 0.18, 0.9, 0.11, 0.05, -0.11, -0.4, -0.05, 0.01, 0.81, -0.52, -0.22, 0.51, 0.84, 0.54, -0.33, -0.27, 1.25, -0.62, -0.66, 0.54, 1.42, 0.18, 0.11, 0.24, -0.48, 0.16, -0.22, -3.54, 0.13, -0.4, -0.06, 0.54, 0.22, -0.07, -0.03, 0.2, 0.8, 0.76, -0.93, -0.49, 0.15, -1.59, 0.82, -0.71, 0.6, 0.53, -0.28]"
009219.jpg,Provide a detailed and accurate description of the image within 50 words.,"A group of men wearing life jackets and safety gear stand on the deck of a ship, checking their equipment and preparing for a possible emergency at sea. They seem focused and prepared, ready to act quickly if needed.","label_boundingbox:{person: {'xyxy': {'Left': 216, 'Top': 71, 'Right': 306, 'Bottom': 281}}},
caption:a group of people on a boat.,
image_embedding:[-0.65, 0.53, 0.5, 1.09, 0.02, 0.39, -0.86, -0.04, 0.01, -0.1, -0.97, -0.23, 0.41, -1.32, 0.5, -0.26, -0.64, 0.0, -0.28, 0.06, 0.16, -0.18, -0.11, 0.11, 0.16, -0.19, -0.45, 0.3, -0.2, -1.01, 0.39, 0.89, -0.65, 0.03, 0.49, -0.77, 0.07, -0.22, 0.06, 0.29, -0.05, 0.47, -0.59, 0.19, -3.16, 0.17, 0.01, -0.3, 0.72, 0.04, 0.54, 0.32, 0.75, 0.63, -0.09, -0.57, -0.32, -0.71, 0.38, 0.04, -0.29, -0.38, -0.18, -0.13]"
002588.jpg,Provide a detailed and accurate description of the image within 50 words.,"Two babies, one in a pink sleeper and the other in a white knitted hat, sit next to each other. The baby in the pink sleeper looks at the camera and the baby in the white hat looks off to the side.  They both have serious expressions on their faces.  They look like they are ready for a nap.","label_boundingbox:{person: {'xyxy': {'Left': 1, 'Top': 96, 'Right': 247, 'Bottom': 375}}},
caption:a baby and a baby doll.,
image_embedding:[0.51, -0.07, -0.1, -0.01, -0.56, -0.04, -1.02, 0.29, 0.0, -1.01, 0.31, -0.47, -0.19, 0.16, 0.28, -0.83, 0.02, -0.37, -0.22, 0.67, 0.63, 0.09, -0.48, 0.01, -0.09, -0.02, -0.44, 0.0, -0.78, 0.25, 0.16, 1.1, 0.26, 0.31, 0.12, -0.44, -0.31, -0.38, 0.66, -0.42, 0.29, 0.24, 0.48, -0.08, -4.9, 0.11, -0.6, 0.61, 0.33, -0.06, -0.36, 0.07, -0.46, -0.34, -0.32, -0.55, 0.01, -1.15, 0.51, -0.05, -0.48, 0.32, -0.59, -0.08]"
007539.jpg,Provide a detailed and accurate description of the image within 50 words.,"A white and black bird with a long, thin neck and a small head sits curled up behind a wire fence. The bird is in a dirt enclosure with a leafy green branch in the background.  The bird's patterned feathers are visible.","label_boundingbox:{Other Fish: {'xyxy': {'Left': 0, 'Top': 65, 'Right': 464, 'Bottom': 297}},bird: {'xyxy': {'Left': 0, 'Top': 60, 'Right': 468, 'Bottom': 375}}},
caption:a white and black bird through a fence.,
image_embedding:[-0.35, 0.69, -0.13, 0.02, -0.72, -0.52, 1.07, 0.19, -0.11, 0.44, -0.79, -0.06, -0.32, 0.7, -0.31, -0.24, 0.9, -0.19, 0.19, -0.84, 0.08, 0.19, -0.27, 0.62, 0.2, -0.02, 0.08, -0.28, 0.37, -0.2, 0.14, -0.0, -0.54, -0.29, 0.18, 0.35, 0.34, 0.18, 1.11, -0.01, 0.67, 0.18, -0.37, -0.05, -4.09, 0.01, -1.63, 0.06, 0.01, -0.73, 0.26, -0.17, 0.58, -0.38, 0.94, 1.01, 0.34, 0.13, -0.05, 0.21, -0.39, 0.83, -0.35, 0.16]"
007170.jpg,Provide a detailed and accurate description of the image within 50 words.,"A woman kneels by a decorated Christmas tree while a couple on the couch exchange a wrapped gift. A man sits on a red couch next to a woman, both looking down at the gift. The woman on the couch is covering her mouth with her hand while smiling.","label_boundingbox:{pottedplant: {'xyxy': {'Left': 0, 'Top': 107, 'Right': 32, 'Bottom': 159}},sofa: {'xyxy': {'Left': 122, 'Top': 147, 'Right': 499, 'Bottom': 334}},person: {'xyxy': {'Left': 0, 'Top': 151, 'Right': 121, 'Bottom': 334}}},
caption:two people sitting on a couch.,
image_embedding:[1.62, -0.54, -0.02, 0.08, -0.01, 0.37, -0.25, -0.64, 0.35, 0.19, -0.51, -0.08, -0.13, -0.15, 0.0, -0.88, 0.3, 0.21, 0.04, 0.0, 0.11, -0.41, 0.12, 0.83, 0.84, -0.63, 0.1, 0.01, 0.09, 0.75, 0.33, 0.53, -0.34, -0.13, 1.9, -0.94, 0.59, 0.02, -0.67, -0.63, 0.01, 0.27, -0.02, 0.47, -2.96, -0.41, -0.49, -0.24, 0.94, 0.12, -0.37, -0.32, -0.5, 0.54, 0.0, 0.64, -0.02, -0.35, 0.0, 0.54, 0.58, 0.62, -0.04, -0.2]"
002720.jpg,Provide a detailed and accurate description of the image within 50 words.,"A white whippet with a brown collar sticks its tongue out, panting in the heat. The dog is standing in front of a green chain link fence, and part of another dog can be seen to the right of the image.  The whippet has a white spot on its head.","label_boundingbox:{Pig: {'xyxy': {'Left': 1, 'Top': 32, 'Right': 204, 'Bottom': 236}},dog: {'xyxy': {'Left': 0, 'Top': 32, 'Right': 205, 'Bottom': 347}}},
caption:a dog with its tongue out,
image_embedding:[-0.27, 1.38, -0.76, -0.25, -0.03, 0.28, -0.06, -0.05, -0.78, 0.32, 0.78, -0.91, -0.88, -0.53, 0.17, -0.06, -0.03, -0.56, -0.41, 0.07, 0.83, 0.12, 0.04, -0.48, -0.32, -0.73, 0.09, -0.32, -0.49, 0.59, -0.12, -0.38, -0.34, -0.23, -0.12, -0.09, -0.04, -0.77, 0.61, -0.44, 0.5, -0.3, 0.22, -0.14, -2.97, -0.48, -0.14, -0.71, -0.47, 0.46, 0.84, 0.37, 0.63, 1.28, -0.07, -0.09, -0.12, -0.73, -0.1, 1.05, -0.83, -0.11, -1.38, -0.84]"
005289.jpg,Provide a detailed and accurate description of the image within 50 words.,"Two kookaburras perch on a railing overlooking a swimming pool in a backyard. The birds are facing forward, with their wings tucked in and their heads held high. The pool water is a bright blue, and the surrounding vegetation is lush and green.","label_boundingbox:{Monkey: {'xyxy': {'Left': 101, 'Top': 151, 'Right': 180, 'Bottom': 335}},bird: {'xyxy': {'Left': 363, 'Top': 141, 'Right': 434, 'Bottom': 337}}},
caption:two birds sitting on a balcony.,
image_embedding:[0.1, 0.15, 0.36, 0.29, 0.49, 0.09, 0.41, -0.97, 0.12, -0.32, -0.8, -0.45, -0.47, -0.27, -0.04, -0.96, 0.9, 0.16, -0.01, -0.12, 0.52, 0.15, 0.68, -0.89, 0.03, -0.43, 0.46, -0.06, -0.6, -0.54, -0.2, -0.7, -0.67, 0.62, 0.31, -0.21, 0.03, -0.46, 0.43, -0.08, 0.3, 0.24, 0.2, -0.62, -4.14, 0.01, -0.04, 0.43, -0.12, 0.09, 0.23, 0.08, -0.28, 0.23, 0.84, 0.95, -0.31, -0.91, -0.31, -0.35, 0.96, -0.58, -0.39, 0.16]"
009599.jpg,Provide a detailed and accurate description of the image within 50 words.,A woman wearing a black shirt grills hot dogs and burgers at a cookout with friends.,"label_boundingbox:{bottle: {'xyxy': {'Left': 150, 'Top': 63, 'Right': 179, 'Bottom': 137}},car: {'xyxy': {'Left': 104, 'Top': 42, 'Right': 400, 'Bottom': 186}},person: {'xyxy': {'Left': 0, 'Top': 0, 'Right': 158, 'Bottom': 300}}},
caption:a woman grilling meat on a grill,
image_embedding:[0.1, 1.11, 0.41, 0.05, -0.24, -0.19, 0.02, 0.05, -0.66, -0.07, 0.51, -0.76, -0.91, 0.17, -0.09, -0.62, 0.18, -0.66, 0.37, 0.45, 0.4, 0.08, 0.06, 0.68, 0.18, 0.18, -0.24, -0.08, -0.11, -0.07, -0.16, 0.83, 0.04, 0.11, -0.39, -0.66, -0.9, -0.01, -0.48, 1.22, -0.72, -0.24, -0.56, -0.54, -1.76, 0.6, 0.32, 0.31, -0.17, 0.11, 0.37, -0.23, 0.08, 0.26, 0.2, 0.22, -0.57, 0.02, 0.24, -0.12, 0.11, -0.63, 0.12, -0.84]"
004844.jpg,Provide a detailed and accurate description of the image within 50 words.,A large billboard advertises Tag Heuer watches with an image of a man in a suit and sunglasses. The billboard is on a building in a bustling city centre. Cars are driving on the road below.,"label_boundingbox:{person: {'xyxy': {'Left': 134, 'Top': 183, 'Right': 202, 'Bottom': 269}},car: {'xyxy': {'Left': 0, 'Top': 389, 'Right': 172, 'Bottom': 481}}},
caption:a man on the side of a building.,
image_embedding:[-0.25, 0.28, 0.44, 0.02, 0.65, -0.68, 0.41, -1.67, 0.72, -0.81, -0.18, 0.33, 0.51, 0.59, -0.87, 0.48, -0.37, 0.31, 0.61, -0.82, 0.02, -0.4, -0.05, -0.07, 0.0, -0.52, -0.15, -0.72, 0.2, 0.12, 0.28, 0.06, 0.14, -0.52, 0.16, -0.08, 0.19, 0.36, 0.45, 0.01, 0.65, 0.44, 0.3, 0.45, -2.54, 0.02, 0.68, -0.04, 1.03, -0.23, -0.72, -0.21, -0.1, 0.36, 0.47, -0.8, 0.32, -0.47, 0.66, 0.92, -0.24, -0.16, -0.19, -0.39]"
000891.jpg,Provide a detailed and accurate description of the image within 50 words.,"A cyclist in a yellow, blue and white racing suit leans into a turn while racing on a track. He is wearing a helmet and sunglasses. The track is lined with fencing and a white wall in the background.  The cyclist is focused and determined.","label_boundingbox:{bicycle: {'xyxy': {'Left': 44, 'Top': 228, 'Right': 223, 'Bottom': 332}},person: {'xyxy': {'Left': 43, 'Top': 10, 'Right': 269, 'Bottom': 333}}},
caption:a person riding a bike.,
image_embedding:[-0.71, 0.64, 0.02, -0.01, 1.37, -0.04, -0.64, -0.51, 0.43, -0.33, -0.01, -0.32, 0.03, 0.49, -0.42, -0.77, -1.02, 0.37, 0.11, -0.58, -0.28, -0.1, 0.16, 0.63, -0.23, 0.22, -0.02, 0.38, 0.08, -0.41, -0.5, -1.18, -0.36, 0.08, -0.46, -0.66, -0.01, 0.57, -0.56, 0.79, -0.19, 0.17, 0.05, -0.33, -2.03, 0.1, -1.54, -0.34, -0.23, 0.47, -0.74, -0.17, 0.31, 0.44, -0.69, 0.38, -0.48, -0.83, -0.15, 0.47, 0.58, -0.32, -0.45, -0.99]"
002900.jpg,Provide a detailed and accurate description of the image within 50 words.,"A white Toyota Corolla races around a track, leaving a trail of tire smoke behind it. The car is speeding around a corner, the trees in the background blurred by motion.  The car's taillights are visible, as is its rear bumper.  The car is in motion.","label_boundingbox:{car: {'xyxy': {'Left': 104, 'Top': 124, 'Right': 383, 'Bottom': 246}}},
caption:a car,
image_embedding:[-0.16, 0.92, 0.51, 0.01, -0.86, -0.26, 0.08, -0.03, -0.34, -0.67, -1.13, -0.13, 0.8, 0.7, -0.49, -0.26, 0.19, -1.25, 0.0, -0.74, -0.27, 0.57, -0.51, -0.2, -0.01, -0.29, -0.3, -0.03, -0.79, 0.53, 0.75, 0.06, -0.47, -0.23, 0.98, 0.23, -0.57, 0.02, 0.88, -0.63, -0.0, 0.01, -0.17, -0.1, -4.11, 0.42, -1.34, -0.26, 0.17, 0.78, -0.42, 0.02, -0.6, 0.05, -0.11, -0.45, 0.49, -0.03, 0.19, 0.0, 0.01, 1.03, 0.05, -0.53]"
006545.jpg,Provide a detailed and accurate description of the image within 50 words.,A brown tabby cat wearing a festive red and white sweater sits on a cream colored couch.  The cat has green eyes and is looking directly at the camera. The cat's tail is wrapped around its body.,"label_boundingbox:{sofa: {'xyxy': {'Left': 12, 'Top': 0, 'Right': 500, 'Bottom': 281}},cat: {'xyxy': {'Left': 74, 'Top': 4, 'Right': 364, 'Bottom': 281}}},
caption:a cat wearing a sweater.,
image_embedding:[0.17, -0.01, -0.78, -0.02, -0.0, -0.5, -0.36, 0.11, 0.19, 0.5, -0.44, -0.44, 0.06, 0.56, -0.59, -0.53, -1.3, 0.06, -0.22, -0.24, -0.02, -0.8, -0.41, 0.24, 0.52, 0.08, -0.11, 0.04, -0.29, -0.11, 1.01, 1.38, -0.46, 0.09, 1.0, -0.55, -0.44, -0.09, 0.15, 0.43, 0.13, 1.1, -0.02, 0.01, -3.02, -1.24, 0.09, -0.49, -1.12, 0.41, -0.3, 0.74, -1.69, -0.04, -0.22, -0.73, -0.53, 0.15, -0.51, 0.39, 0.05, 1.45, 0.52, 0.1]"
004491.jpg,Provide a detailed and accurate description of the image within 50 words.,A young woman wearing a green tank top sits in a floral armchair and holds a cell phone. She is smiling and looking at the camera while sitting in a cozy living room.  A fireplace and a bookcase with framed photos can be seen in the background.,"label_boundingbox:{pottedplant: {'xyxy': {'Left': 0, 'Top': 276, 'Right': 32, 'Bottom': 347}},chair: {'xyxy': {'Left': 154, 'Top': 141, 'Right': 399, 'Bottom': 369}},person: {'xyxy': {'Left': 185, 'Top': 131, 'Right': 333, 'Bottom': 282}}},
caption:a woman in a living room.,
image_embedding:[0.48, -0.47, 0.34, 0.72, -1.25, -0.23, -1.15, 0.22, 0.68, 0.01, 0.31, -0.06, -0.23, 0.0, -0.05, -0.18, 0.85, 0.62, 0.26, -0.26, 0.14, 0.23, -0.96, 0.5, 0.51, -0.17, -0.39, 0.02, -0.23, -0.81, -0.07, 1.54, 0.14, 0.37, -0.63, -0.05, -0.86, 0.31, -1.28, 0.24, 0.43, 1.36, -0.21, -0.42, -3.48, 0.04, -0.57, -0.08, -0.14, -0.27, -0.37, 0.08, 1.2, -0.11, 0.02, 0.52, 0.02, -0.13, -0.54, 0.34, -0.74, 0.8, -0.87, -0.23]"
008700.jpg,Provide a detailed and accurate description of the image within 50 words.,"A young man and woman, both wrapped in fuzzy blankets, are sitting on a couch together. They are both looking at the camera with smiles on their faces. The man is wearing black and the woman is wearing white. They look like a couple in love.","label_boundingbox:{Monkey: {'xyxy': {'Left': 209, 'Top': 102, 'Right': 499, 'Bottom': 375}},sofa: {'xyxy': {'Left': 0, 'Top': 67, 'Right': 500, 'Bottom': 375}},person: {'xyxy': {'Left': 0, 'Top': 67, 'Right': 270, 'Bottom': 328}}},
caption:a man and a woman on a couch.,
image_embedding:[0.12, 0.07, -0.66, 0.01, 0.01, -0.49, -0.15, 0.07, -0.47, 0.07, 0.35, -0.16, -0.03, -0.13, -0.54, -0.48, 0.62, -0.0, 0.23, 0.2, 0.41, -0.87, -0.77, 0.6, 0.6, -0.38, -0.91, 0.08, -0.76, 0.22, -0.5, -0.2, -0.12, -0.08, -0.04, -1.71, 0.29, -1.71, 0.05, -0.6, 0.75, 0.16, -0.49, -0.54, -3.67, 0.85, 0.12, 0.02, 0.29, 0.01, -0.33, 0.96, -0.71, -0.06, 0.7, -0.36, -0.08, 0.23, 0.97, -1.01, -0.04, -0.62, 0.0, -0.55]"
002688.jpg,Provide a detailed and accurate description of the image within 50 words.,"An orange freight train rumbles down the tracks, led by a locomotive emblazoned with the number 650 and a large J.  The train is on a straight track and is surrounded by trees.","label_boundingbox:{train: {'xyxy': {'Left': 0, 'Top': 96, 'Right': 468, 'Bottom': 295}}},
caption:a train on the tracks.,
image_embedding:[0.27, 0.08, 0.92, -0.02, -0.0, -0.04, -0.59, -0.27, -0.61, -0.2, -0.8, 0.37, -0.25, -1.24, 0.36, 0.01, 0.24, -0.67, 0.62, -0.64, -0.31, 0.32, 0.06, 0.12, -0.83, -0.37, -0.13, 0.22, 0.3, 0.3, -0.08, -0.71, -0.35, 0.47, 0.35, -1.05, 0.63, 0.18, 1.11, 0.03, -1.06, 0.76, 0.35, 0.24, -3.56, 0.54, -0.13, 0.08, -0.73, -0.22, -0.35, -0.51, 0.57, -0.92, -0.5, 0.55, 0.29, 0.08, -0.01, -0.53, -0.68, -0.02, -0.04, -0.81]"
002528.jpg,Provide a detailed and accurate description of the image within 50 words.,"A young man, wearing a plaid shirt and jeans, runs through a grassy field with a frisbee in his hand. He is smiling and appears to be having a lot of fun. The frisbee is blurry, indicating that he is throwing it.","label_boundingbox:{person: {'xyxy': {'Left': 266, 'Top': 45, 'Right': 446, 'Bottom': 307}}},
caption:a person throwing a fr,
image_embedding:[-0.31, 0.01, -0.19, -0.6, 0.73, -0.28, 0.02, -0.1, 0.61, 0.54, 0.86, -0.34, 0.68, 0.31, 0.13, -0.01, 0.1, 0.06, -0.33, -1.64, 0.54, 0.34, 0.06, -0.13, -0.67, -0.26, -0.38, -0.2, 0.1, -0.11, 0.35, -0.16, -0.33, 0.24, 0.15, 0.05, 0.47, 0.44, -0.05, -0.01, 0.38, 0.2, -0.01, -0.57, -4.98, -0.93, 0.0, -0.31, -0.87, 0.46, -0.17, 0.63, -0.43, -0.27, -0.87, -0.04, 0.83, 0.09, 0.08, -0.1, 0.12, 0.4, -0.84, -0.51]"
009092.jpg,Provide a detailed and accurate description of the image within 50 words.,"A red and white bus with the number 39 on it drives down a city street. The bus is driving past other buses and buildings. There are trees on either side of the street.  The bus is in focus, the background is blurred.","label_boundingbox:{person: {'xyxy': {'Left': 190, 'Top': 167, 'Right': 210, 'Bottom': 211}},car: {'xyxy': {'Left': 400, 'Top': 168, 'Right': 435, 'Bottom': 229}},bus: {'xyxy': {'Left': 218, 'Top': 110, 'Right': 362, 'Bottom': 233}}},
caption:a bus driving down a street.,
image_embedding:[0.02, -0.42, -0.36, -0.19, 0.25, 0.18, 0.63, 0.39, 0.11, 0.33, 0.19, 0.45, -0.04, 0.98, -0.36, -0.11, -0.4, 1.14, 0.29, -0.36, -0.49, 0.02, 0.03, 0.42, 0.1, 0.05, -0.45, 0.3, -0.38, 0.34, -0.24, -0.8, -0.16, 0.59, -0.21, -0.09, -0.64, 0.61, 0.11, -0.71, -0.35, -1.1, 0.72, -0.74, -1.66, 0.15, 0.48, -0.05, 0.84, -0.18, -1.38, -0.28, 0.02, 0.69, -0.1, -0.78, 0.54, 0.82, -0.04, 0.48, 0.05, 0.35, 0.07, -0.12]"
006686.jpg,Provide a detailed and accurate description of the image within 50 words.,"A man and a woman relax on a large grey couch. They are both wearing jeans, and the woman has a pink shirt on. The man is sitting with his arm resting on the back of the couch and looking over at the woman. They are both smiling.","label_boundingbox:{sofa: {'xyxy': {'Left': 0, 'Top': 147, 'Right': 482, 'Bottom': 374}},person: {'xyxy': {'Left': 143, 'Top': 144, 'Right': 435, 'Bottom': 369}}},
caption:a man and woman on a couch.,
image_embedding:[0.39, -0.42, 0.15, 0.03, 0.4, -0.33, 0.09, 0.41, 0.19, 0.05, -0.5, -1.02, -0.11, -0.33, -0.39, -0.49, -0.46, 0.17, 0.76, -0.11, 0.27, -0.23, -0.57, -0.21, 0.09, -0.25, -0.21, -0.0, -0.44, 0.26, 0.74, -0.42, 0.98, -0.08, 0.64, -1.4, 0.23, 0.04, -0.21, -0.21, -0.39, 0.52, 0.44, -0.04, -3.63, 0.46, -0.43, 0.74, 0.32, -0.01, -0.02, -0.13, -0.14, 0.25, 0.16, 0.26, 0.04, -0.3, 0.06, -0.62, 0.73, 0.37, -1.6, -0.08]"
009723.jpg,Provide a detailed and accurate description of the image within 50 words.,"A silver Porsche Cayman with the door open, parked in a parking lot.","label_boundingbox:{car: {'xyxy': {'Left': 0, 'Top': 64, 'Right': 500, 'Bottom': 367}}},
caption:a car,
image_embedding:[0.15, 1.3, 0.55, -0.05, -0.8, 0.81, 0.07, 0.41, -0.44, -0.57, -0.0, -0.75, -0.12, -0.06, -1.28, -0.51, -0.05, -0.01, -0.21, 0.9, 0.44, -0.17, 1.18, 0.57, -0.59, 0.31, 0.6, 0.24, 0.29, -0.19, -0.12, 0.37, -0.61, -0.2, -0.36, -0.64, 0.39, 0.35, -0.3, -0.75, 0.05, -0.04, 0.03, -0.01, -1.82, -0.03, 0.38, -0.8, 0.7, -0.68, -0.14, -0.29, -1.02, 0.53, 0.19, 0.41, -0.01, -0.66, 0.03, -0.62, -0.12, 0.25, -0.19, 0.18]"
000068.jpg,Provide a detailed and accurate description of the image within 50 words.,"A sandhill crane stands tall on a golf course, its head tilted back, and its long neck outstretched. A palm tree looms over the bird, which is enjoying the warm, sunny day.  The sandy white surface of the course creates a bright, beautiful background.","label_boundingbox:{bird: {'xyxy': {'Left': 0, 'Top': 41, 'Right': 268, 'Bottom': 375}}},
caption:a sandhill crane,
image_embedding:[-0.69, 0.62, 0.04, 0.02, -0.16, -0.33, 0.31, 0.57, 0.46, -0.08, -0.2, -0.58, -0.07, 0.7, -0.37, 0.24, 0.35, 0.53, 0.02, -0.16, -0.51, -0.43, 0.39, -0.2, 0.27, -0.68, -0.26, 0.28, -0.82, -0.65, -0.04, -0.31, -0.17, -0.27, -0.42, -0.33, -0.31, 0.15, -0.74, -0.62, -0.15, -0.18, 0.12, 0.86, -2.85, -0.36, -0.21, -0.39, 0.06, 0.2, 0.34, -0.13, -0.35, 0.42, -0.49, 0.75, 0.05, 0.3, 0.36, -0.06, -0.83, 0.7, 0.57, -0.6]"
003600.jpg,Provide a detailed and accurate description of the image within 50 words.,A young boy wearing a red baseball cap sits on a green chair while eating. The chair is facing a tree stump that has a plate of food on it. The boy is looking directly at the camera.  The boy is sitting outside on a bed of leaves.,"label_boundingbox:{chair: {'xyxy': {'Left': 268, 'Top': 95, 'Right': 449, 'Bottom': 353}},person: {'xyxy': {'Left': 199, 'Top': 31, 'Right': 363, 'Bottom': 370}}},
caption:a boy sitting in a chair eating food.,
image_embedding:[-0.81, 0.24, -0.04, 0.55, 0.28, 0.39, -1.15, 0.02, 0.94, -1.11, 1.3, 1.04, 0.43, 0.32, 0.04, -0.61, 0.57, -0.57, -0.01, -0.63, -0.36, 0.05, -0.71, -0.35, 0.24, 0.54, -1.69, 0.56, -0.26, -0.34, 0.05, 0.32, 0.48, -0.32, -0.79, -0.35, -0.45, 0.07, -0.06, 0.08, -0.39, 0.53, -0.63, -0.09, -5.2, -0.07, 0.01, -0.06, 0.17, 0.39, -0.88, 0.06, -1.88, 0.41, -0.13, 0.54, 0.61, -0.8, 0.22, -0.52, 0.36, 0.54, -0.94, 0.22]"
008131.jpg,Provide a detailed and accurate description of the image within 50 words.,Two men stand side by side in a home. The man on the left is wearing a plaid shirt and khaki pants. The man on the right is wearing a black polo shirt and jeans.  He is holding onto a wooden chair.,"label_boundingbox:{Other Fish: {'xyxy': {'Left': 232, 'Top': 89, 'Right': 276, 'Bottom': 145}},chair: {'xyxy': {'Left': 300, 'Top': 256, 'Right': 451, 'Bottom': 375}},person: {'xyxy': {'Left': 292, 'Top': 39, 'Right': 500, 'Bottom': 374}}},
caption:two men playing a video game.,
image_embedding:[0.56, 0.27, 0.23, 0.79, -0.02, -0.8, -0.16, -0.21, 1.27, -0.52, -0.26, -0.39, -0.01, -0.31, 0.54, 0.07, 0.57, 0.2, -0.81, -0.37, -0.76, -0.49, -0.3, 0.46, -0.45, -0.63, -0.49, 1.13, -0.37, -0.14, 0.44, 0.27, -0.26, 0.4, -0.04, -0.24, -0.57, -0.19, -0.05, 0.67, -1.02, 0.8, -0.07, 0.19, -3.36, 0.09, 0.26, 0.37, 0.01, -0.02, -1.32, 0.08, -0.11, 0.33, -0.27, -0.98, -0.16, 0.13, -0.38, 0.03, 0.63, 0.78, -0.31, 0.61]"
009478.jpg,Provide a detailed and accurate description of the image within 50 words.,"A young boy sits on the floor with his back to a brown leather chair,  looking down to the left.","label_boundingbox:{tvmonitor: {'xyxy': {'Left': 0, 'Top': 0, 'Right': 81, 'Bottom': 259}},sofa: {'xyxy': {'Left': 15, 'Top': 11, 'Right': 448, 'Bottom': 328}},person: {'xyxy': {'Left': 93, 'Top': 19, 'Right': 312, 'Bottom': 336}}},
caption:a baby sitting on the floor,
image_embedding:[0.17, 0.38, 0.01, 0.01, 0.72, -0.15, -0.21, 0.13, 0.2, -0.62, -0.88, -0.55, 0.41, -0.57, -0.43, -0.58, 0.4, 0.26, -0.1, -0.78, 0.14, -0.31, 0.13, 1.16, 0.25, 0.24, -0.19, 0.31, -0.64, -0.38, 0.78, -0.04, -1.15, 0.24, 0.96, -0.5, 0.35, 0.39, -0.46, -0.07, 0.08, 0.7, 0.27, -0.18, -1.67, -0.1, 0.0, 0.41, 0.6, -0.2, 0.16, 0.31, -0.47, -0.19, -0.52, 0.02, -0.67, -1.86, -0.26, 0.43, 0.24, 0.53, -0.88, -0.16]"
005858.jpg,Provide a detailed and accurate description of the image within 50 words.,"A row of six metal chairs sit in front of a white wall. Five of the chairs are empty, and the sixth has an unseen person sitting in it. The ground is covered in fallen leaves.  A quiet scene.","label_boundingbox:{chair: {'xyxy': {'Left': 418, 'Top': 19, 'Right': 475, 'Bottom': 78}}},
caption:a bench and chairs in a park.,
image_embedding:[-0.23, -0.15, -0.08, 0.24, -0.68, 0.09, -0.34, -0.07, -0.0, 1.35, -0.01, 0.03, 0.05, 0.01, -0.07, 0.66, 0.0, 0.36, -0.01, 0.69, 0.14, -0.18, 0.33, 0.83, -0.12, 0.04, -0.38, -0.44, 0.32, -0.03, -1.15, -1.15, 0.2, 0.02, -0.1, 0.58, -0.04, 0.22, -0.13, -0.5, -0.25, 0.73, 0.25, 0.33, -2.55, 0.59, 0.12, 0.39, 0.38, 0.24, -0.36, -0.75, -1.37, -0.53, 0.58, -0.02, -0.32, -1.51, -0.11, -0.45, -0.29, 0.83, -0.06, -0.3]"
